Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,Nunca mais,"Localização péssima, local sinistro, quartos horríveis e mal cuidados.    Sem água quente, chuveiro caindo aos pedaços, falta até a reposição de papel higiênico. Café da manhã OK    Pior experiência da minha vida em mais de 20 anos viajando pelo Brasil"
nov. de 2022,2,Hotel deixa a desejar,"O Hotel está totalmente fora do padrão Comfort. Estou hospedado nele e não tem nem sequer papel higiênico no banheiro. Na recepção o atendimento tbm é medíocre, as informações só são passadas se vc pergunta."
out. de 2022,3,Precisa melhorar,"Limpeza mal feita (ou não feita), café da manhã sem reposição de itens, cortinas velhas no quarto, sistema de chaves dos eevadores em mal funcionamento, enfim está na hora de dar uma repaginada.  Infelizmente é um empreendimento muito aquém do padrão Comfort."
set. de 2022,4,Recomendamos,"Estivemos hospedados por 3 dias, e que alegria a recepção que tivemos, uma equipe muito preparada e inteirada de tudo. Desde a recepção, atendimento no quarto, restaurante, tudo bem limpo e organizado. O café da manhã é bem variado, muito saboroso em um ambiente bem iluminado e com funcionarios sorrindo todo o tempo. O quarto é bom, limpo, amplo e ótimo banheiro. Recomendamos."
ago. de 2022,2,Café da manhã muito tarde,"O horário em que o café da manhã começa a ser servido faz com que muitos que estao ali hospedados saiam para o trabalho sem tomar café, parece até estratégia. Café poderia ser servido a partir das 06:00 hrs."
ago. de 2022,5,Ótimo atendimento e lugar ótimo pra se hospedar,"Estive alguns dias em Brasília a serviço, e fiquei hospedado neste hotel!  Local um pouco distante do centro de Brasília, achei ele bem amplo, com uma boa vista.  Os atendentes são ótimo e cordiais, local limpo e organizado!  Tudo ótimo 😃  Super recomendo"
jun. de 2022,4,Muito Bom,Instalações e atendimento muito bons.  O login e a senha da internet poderiam estar disponíveis no quarto ou no envelope onde é colocado o cartão que libera o elevador e a porta do quarto.  Sem mais comentários.
jun. de 2022,3,Pode melhorar mais,"Quarto para não fumantes não tem nada de não fumantes, quem ficou lá anteriormente tinha fumado. A reserva pelo site é uma coisa chega lá ainda tem mais taxas inclusas no atendimento deixou esperando, depois que atendeu todas as ligações que atendeu a gente."
jun. de 2022,4,Atende bem. Dentro da espectativa,"Muito bom o atendimento, a higiene e limpeza do quarto e demais ambientes. Quarto confortável com boa conexão de internet. Café da manhã muito bom, mas pode acrescentar outras opções sem glutem e leite e derivados sem lactose. Academia muito simples e area de lazer bem fraquinha"
jun. de 2022,4,Bom hotel,"Estive com meus filhos e fomos muito bem atendidos. Todos os funcionários foram extremamente educados, inclusive quanto à orientações e indicação de lugares próximo para alimentação e distração das crianças. O quarto atendeu a minha necessidade. Retornarei quando precisar. Indico."
